Ausgabedatei Z88O3.TXT : Spannungen, erzeugt mit Z88R V15OS
                         **********

bei isoparametrischen Elementen Berechnung der Spannungen in den Gausspunkten
3 Punkte pro Achse/Element
Berechnung der Vergleichsspannungen nach Gestaltsaenderungsenergie-Hypothese fuer Elemente 3 + 6  
sowie fuer Gausspunkte der Elemente 1,7,8,10,11,12,14 bis 24

Element # = 1     Typ = 8-K Scheibe
 XX         YY         SIGXX       SIGYY       TAUXY       SIGV
  +5.02E+01  +4.21E+01  +1.490E+02  +2.074E+02  +1.168E+02  +2.743E+02
  +5.19E+01  +4.04E+01  +1.467E+02  +8.950E+01  +4.921E+01  +1.538E+02

Element # = 19     Typ = 8-K Scheibe
 XX         YY         SIGXX       SIGYY       TAUXY       SIGV
  +6.28E+01  +4.59E+01  +6.522E+01  -3.800E+01  +9.134E+00  +9.179E+01
  +6.53E+01  +4.49E+01  +2.733E+01  -7.102E+01  -1.136E+01  +9.010E+01
  +6.78E+01  +4.38E+01  +5.557E+00  -7.876E+01  -2.102E+01  +8.943E+01
  +6.24E+01  +4.28E+01  +4.254E+01  -4.523E+01  -9.149E+00  +7.766E+01
  +6.49E+01  +4.14E+01  -1.011E+01  -6.536E+01  -3.011E+01  +8.021E+01
  +6.74E+01  +4.01E+01  -4.612E+01  -6.328E+01  -4.087E+01  +9.068E+01
  +6.20E+01  +3.96E+01  -1.156E+01  -6.014E+01  -3.280E+01  +7.926E+01
  +6.45E+01  +3.80E+01  -7.465E+01  -6.630E+01  -5.293E+01  +1.159E+02
  +6.70E+01  +3.64E+01  -1.214E+02  -5.379E+01  -6.383E+01  +1.527E+02

Element # = 20     Typ = 8-K Scheibe
 XX         YY         SIGXX       SIGYY       TAUXY       SIGV
  +5.65E+01  +4.85E+01  +8.502E+01  +7.969E+01  +5.029E+01  +1.200E+02
  +5.89E+01  +4.75E+01  +7.564E+01  +2.210E+01  +3.168E+01  +8.689E+01
  +6.14E+01  +4.65E+01  +7.602E+01  -1.547E+01  +1.982E+01  +9.150E+01
  +5.61E+01  +4.60E+01  +9.169E+01  +6.801E+01  +4.634E+01  +1.151E+02
  +5.85E+01  +4.48E+01  +6.479E+01  +1.001E+01  +1.859E+01  +6.845E+01
  +6.10E+01  +4.35E+01  +4.954E+01  -2.855E+01  -1.223E+00  +6.847E+01
  +5.57E+01  +4.35E+01  +1.025E+02  +5.454E+01  +3.959E+01  +1.122E+02
  +5.81E+01  +4.20E+01  +5.672E+01  -2.884E+00  +3.952E+00  +5.862E+01
  +6.05E+01  +4.05E+01  +2.434E+01  -4.200E+01  -2.298E+01  +7.045E+01

Element # = 21     Typ = 8-K Scheibe
 XX         YY         SIGXX       SIGYY       TAUXY       SIGV
  +5.04E+01  +5.09E+01  +1.641E+01  +2.707E+02  +4.689E+01  +2.751E+02
  +5.27E+01  +5.00E+01  +4.980E+01  +1.965E+02  +5.737E+01  +2.029E+02
  +5.51E+01  +4.90E+01  +7.185E+01  +1.198E+02  +5.826E+01  +1.452E+02
  +5.01E+01  +4.90E+01  +2.416E+01  +2.914E+02  +7.495E+01  +3.087E+02
  +5.24E+01  +4.79E+01  +6.045E+01  +2.000E+02  +7.195E+01  +2.170E+02
  +5.48E+01  +4.67E+01  +8.689E+01  +1.109E+02  +6.277E+01  +1.485E+02
  +4.97E+01  +4.71E+01  +5.195E+01  +3.052E+02  +1.044E+02  +3.357E+02
  +5.20E+01  +4.57E+01  +8.481E+01  +1.980E+02  +8.743E+01  +2.292E+02
  +5.43E+01  +4.43E+01  +1.105E+02  +9.770E+01  +6.782E+01  +1.574E+02

Element # = 22     Typ = 8-K Scheibe
 XX         YY         SIGXX       SIGYY       TAUXY       SIGV
  +6.36E+01  +5.41E+01  +7.241E+01  -2.791E+01  +1.921E+01  +9.565E+01
  +6.62E+01  +5.37E+01  +7.301E+01  -5.111E+01  +1.489E+01  +1.111E+02
  +6.88E+01  +5.33E+01  +7.860E+01  -6.104E+01  +1.444E+01  +1.238E+02
  +6.34E+01  +5.09E+01  +7.890E+01  -2.911E+01  +1.683E+01  +1.011E+02
  +6.59E+01  +5.03E+01  +6.993E+01  -5.168E+01  +1.017E+01  +1.072E+02
  +6.85E+01  +4.96E+01  +6.682E+01  -6.107E+01  +7.562E+00  +1.116E+02
  +6.30E+01  +4.78E+01  +7.033E+01  -3.544E+01  +1.394E+01  +9.632E+01
